model,k,param,train,cv
SVM,30,"C=100, ker=sigmoid",0.795,0.718
LogReg,40,-,0.897,0.664
MLP,40,"h=10, act=logistic",0.923,0.768
MLP,40,"h=10, act=tanh",1.0,0.718
MLP,40,"h=10, act=relu",1.0,0.689
MLP,40,"h=5, act=logistic",0.949,0.768
MLP,40,"h=5, act=tanh",1.0,0.714
MLP,40,"h=5, act=relu",0.974,0.771
MLP,40,"h=3, act=logistic",0.923,0.771
MLP,40,"h=3, act=tanh",0.923,0.689
MLP,40,"h=3, act=relu",0.974,0.793
SVM,40,"C=0.01, ker=linear",0.692,0.643
SVM,40,"C=0.01, ker=poly",0.667,0.668
SVM,40,"C=0.01, ker=rbf",0.667,0.668
SVM,40,"C=0.01, ker=sigmoid",0.667,0.668
SVM,40,"C=0.03, ker=linear",0.769,0.746
SVM,40,"C=0.03, ker=poly",0.667,0.668
SVM,40,"C=0.03, ker=rbf",0.667,0.668
SVM,40,"C=0.03, ker=sigmoid",0.667,0.668
SVM,40,"C=0.1, ker=linear",0.821,0.796
SVM,40,"C=0.1, ker=poly",0.667,0.668
SVM,40,"C=0.1, ker=rbf",0.667,0.668
SVM,40,"C=0.1, ker=sigmoid",0.667,0.668
SVM,40,"C=0.3, ker=linear",0.872,0.714
SVM,40,"C=0.3, ker=poly",0.692,0.643
SVM,40,"C=0.3, ker=rbf",0.667,0.643
SVM,40,"C=0.3, ker=sigmoid",0.667,0.618
SVM,40,"C=1, ker=linear",0.923,0.714
SVM,40,"C=1, ker=poly",0.769,0.564
SVM,40,"C=1, ker=rbf",0.897,0.775
SVM,40,"C=1, ker=sigmoid",0.821,0.775
SVM,40,"C=3, ker=linear",0.974,0.636
SVM,40,"C=3, ker=poly",0.769,0.639
SVM,40,"C=3, ker=rbf",0.923,0.825
SVM,40,"C=3, ker=sigmoid",0.744,0.771
SVM,40,"C=10, ker=linear",0.974,0.636
SVM,40,"C=10, ker=poly",0.846,0.639
SVM,40,"C=10, ker=rbf",1.0,0.743
