model,k,param,train,cv
MLP,22,"h=4,logistic",0.974,0.793
MLP,22,"h=15,relu",1.0,0.714
MLP,22,"h=15,logistic",1.0,0.764
SVM,22,"C=0.1,linear",0.821,0.746
SVM,22,"C=0.1,rbf",0.667,0.668
SVM,22,"C=1,linear",0.897,0.739
SVM,22,"C=1,rbf",0.872,0.746
SVM,22,"C=10,linear",0.974,0.739
SVM,22,"C=10,rbf",1.0,0.739
DT,22,d=3,0.974,0.693
DT,22,d=5,1.0,0.693
DT,22,d=None,1.0,0.718
RF,22,"n=16,d=3",0.974,0.671
RF,22,"n=16,d=5",1.0,0.643
RF,22,"n=16,d=None",1.0,0.643
XGB,22,"d=15,lr=0.05",0.923,0.8
XGB,22,"d=15,lr=0.1",0.974,0.796
XGB,22,"d=17,lr=0.05",0.923,0.8
XGB,22,"d=17,lr=0.1",0.974,0.796
CatBoost,22,"d=1,lr=0.05",0.923,0.693
CatBoost,22,"d=1,lr=0.1",0.949,0.768
CatBoost,22,"d=15,lr=0.05",1.0,0.768
CatBoost,22,"d=15,lr=0.1",1.0,0.768
LogReg,23,-,0.897,0.743
MLP,23,"h=4,relu",0.949,0.818
MLP,23,"h=4,logistic",0.949,0.739
MLP,23,"h=15,relu",1.0,0.739
MLP,23,"h=15,logistic",1.0,0.714
SVM,23,"C=0.1,linear",0.821,0.746
SVM,23,"C=0.1,rbf",0.667,0.668
SVM,23,"C=1,linear",0.897,0.714
SVM,23,"C=1,rbf",0.872,0.746
SVM,23,"C=10,linear",0.974,0.711
SVM,23,"C=10,rbf",0.974,0.793
DT,23,d=3,0.974,0.664
DT,23,d=5,1.0,0.693
DT,23,d=None,1.0,0.718
RF,23,"n=16,d=3",0.949,0.646
RF,23,"n=16,d=5",1.0,0.643
RF,23,"n=16,d=None",1.0,0.643
XGB,23,"d=15,lr=0.05",0.923,0.8
XGB,23,"d=15,lr=0.1",0.974,0.721
XGB,23,"d=17,lr=0.05",0.923,0.8
XGB,23,"d=17,lr=0.1",0.974,0.721
CatBoost,23,"d=1,lr=0.05",0.923,0.721
CatBoost,23,"d=1,lr=0.1",0.974,0.771
CatBoost,23,"d=15,lr=0.05",1.0,0.796
CatBoost,23,"d=15,lr=0.1",1.0,0.768
LogReg,24,-,0.897,0.743
MLP,24,"h=4,relu",1.0,0.689
MLP,24,"h=4,logistic",0.949,0.714
MLP,24,"h=15,relu",1.0,0.739
MLP,24,"h=15,logistic",1.0,0.739
SVM,24,"C=0.1,linear",0.821,0.746
SVM,24,"C=0.1,rbf",0.667,0.668
SVM,24,"C=1,linear",0.897,0.714
SVM,24,"C=1,rbf",0.872,0.746
SVM,24,"C=10,linear",0.974,0.711
SVM,24,"C=10,rbf",0.974,0.793
DT,24,d=3,0.974,0.771
DT,24,d=5,1.0,0.771
DT,24,d=None,1.0,0.796
RF,24,"n=16,d=3",0.923,0.696
RF,24,"n=16,d=5",1.0,0.671
RF,24,"n=16,d=None",1.0,0.721
XGB,24,"d=15,lr=0.05",0.923,0.8
XGB,24,"d=15,lr=0.1",0.974,0.721
XGB,24,"d=17,lr=0.05",0.923,0.8
XGB,24,"d=17,lr=0.1",0.974,0.721
CatBoost,24,"d=1,lr=0.05",0.949,0.721
CatBoost,24,"d=1,lr=0.1",0.974,0.771
CatBoost,24,"d=15,lr=0.05",1.0,0.768
CatBoost,24,"d=15,lr=0.1",1.0,0.768
LogReg,35,-,0.897,0.718
MLP,35,"h=4,relu",0.949,0.686
MLP,35,"h=4,logistic",0.974,0.768
MLP,35,"h=15,relu",1.0,0.661
MLP,35,"h=15,logistic",1.0,0.764
SVM,35,"C=0.1,linear",0.821,0.775
SVM,35,"C=0.1,rbf",0.667,0.668
SVM,35,"C=1,linear",0.872,0.718
SVM,35,"C=1,rbf",0.846,0.725
SVM,35,"C=10,linear",0.974,0.661
SVM,35,"C=10,rbf",1.0,0.714
DT,35,d=3,0.897,0.718
DT,35,d=5,1.0,0.696
DT,35,d=None,1.0,0.696
RF,35,"n=16,d=3",0.974,0.8
RF,35,"n=16,d=5",1.0,0.8
RF,35,"n=16,d=None",1.0,0.8
XGB,35,"d=15,lr=0.05",0.974,0.693
XGB,35,"d=15,lr=0.1",1.0,0.668
XGB,35,"d=17,lr=0.05",0.974,0.693
XGB,35,"d=17,lr=0.1",1.0,0.668
CatBoost,35,"d=1,lr=0.05",0.923,0.721
CatBoost,35,"d=1,lr=0.1",1.0,0.746
CatBoost,35,"d=15,lr=0.05",1.0,0.796
CatBoost,35,"d=15,lr=0.1",1.0,0.746
LogReg,40,-,0.897,0.664
MLP,40,"h=4,relu",0.949,0.721
MLP,40,"h=4,logistic",0.897,0.796
